,"X,Y",Fixed,density
218,"(72.81850366, 18.97585247)",0,0.420888889
219,"(72.82419942, 18.9759195)",0,0.428888889
220,"(72.8270473, 18.97595295)",0,0.5655555560000001
221,"(72.82989520000001, 18.97598635)",0,0.671111111
222,"(72.8327431, 18.97601972)",0,0.417777778
223,"(72.83559100000001, 18.97605304)",0,0.455555556
224,"(72.83843891, 18.97608631)",0,0.461111111
225,"(72.84128683, 18.97611954)",0,0.457777778
226,"(72.84413475, 18.97615273)",0,0.266666667
227,"(72.84698268, 18.97618588)",1,0.364444444
228,"(72.80429988, 18.97297481)",0,0.163333333
229,"(72.80714768, 18.97300856)",0,0.396666667
230,"(72.80999548, 18.97304227)",0,0.404444444
231,"(72.8128433, 18.97307593)",0,0.182222222
232,"(72.81569111, 18.97310955)",0,0.233333333
233,"(72.81853894, 18.97314687)",0,0.420888889
234,"(72.82138676, 18.97317666)",0,0.217777778
235,"(72.8242346, 18.97321015)",0,0.318888889
236,"(72.82708244, 18.9732436)",0,0.545555556
237,"(72.82993029, 18.973277)",0,0.3666666670000001
238,"(72.835626, 18.97334367)",0,0.373333333
239,"(72.83847386, 18.97337694)",0,0.368888889
240,"(72.84132173, 18.97341016)",0,0.468888889
241,"(72.84416961, 18.97344335)",0,0.124888889
242,"(72.84701749, 18.97347649)",1,0.28600000000000003
243,"(72.84986538, 18.97350958)",1,0.3666666670000001
244,"(72.80433538, 18.9702655)",0,0.202222222
245,"(72.80718313, 18.97029924)",0,0.231777778
246,"(72.81003089, 18.97033294)",0,0.203777778
247,"(72.81287865, 18.970366600000002)",0,0.216222222
248,"(72.81572642, 18.97040022)",0,0.29
249,"(72.81857420000001, 18.97043379)",0,0.339111111
250,"(72.82142198, 18.97046732)",0,0.242666667
251,"(72.82426977, 18.9705008)",0,0.302222222
252,"(72.82711757, 18.97053424)",0,0.5477777779999999
253,"(72.82996537, 18.97056764)",0,0.311111111
254,"(72.83281318, 18.97060099)",0,0.225555556
255,"(72.83566099, 18.9706343)",0,0.225555556
256,"(72.83850881, 18.97066756)",0,0.355555556
257,"(72.84135663, 18.97070079)",1,0.444444444
258,"(72.84420446, 18.97073396)",0,0.237777778
259,"(72.80437087, 18.96755618)",0,0.258222222
260,"(72.80721857, 18.96758992)",0,0.272222222
261,"(72.81006629, 18.96762362)",0,0.264444444
262,"(72.81291401, 18.96765727)",0,0.374888889
263,"(72.81576173, 18.96769088)",0,0.241111111
264,"(72.81860946, 18.96772445)",0,0.202222222
265,"(72.8214572, 18.96775797)",0,0.228666667
266,"(72.82715744, 18.96782489)",0,0.410888889
267,"(72.83000045, 18.96785828)",0,0.178888889
