fire_truck,rescue_tru,water_tank,abulance,Total,Y,X,ID,Fixed
1,1,1,1,4,19.00578924,72.82950883,90,No
1,1,1,1,4,19.00582266,72.83235723,91,No
1,1,1,1,4,19.00588936,72.83805406,92,No
1,1,1,1,4,19.00592265,72.84090248,93,No
1,1,1,1,4,19.0059559,72.84375091,94,No
1,1,1,1,4,19.0059891,72.84659934,95,No
1,1,1,1,4,19.00602225,72.84944778,96,No
1,1,1,1,4,19.00605537,72.85229623,97,No
1,1,1,1,4,19.00608843,72.85514468,98,No
1,1,1,1,4,19.00287849,72.81245395,99,No
1,1,1,1,4,19.00291591,72.81530624,100,No
1,1,1,1,4,19.0029458,72.81815061,101,No
1,1,1,1,4,19.00297938,72.82099894,102,No
1,1,1,1,4,19.00301293,72.82384728,103,yes
1,1,1,1,4,19.00304643,72.82669563,104,No
1,1,1,1,4,19.00307989,72.82954398,105,No
1,1,1,1,4,19.0031133,72.83239234,106,No
1,1,1,1,4,19.00314667,72.8352407,107,No
1,1,1,1,4,19.00318,72.83808907,108,No
1,1,1,1,4,19.00321328,72.84093745,109,No
1,1,1,1,4,19.00324652,72.84378583,110,No
1,1,1,1,4,19.00327972,72.84663422,111,No
1,1,1,1,4,19.00331287,72.84948262,112,No
1,1,1,1,4,19.00334598,72.85233102,113,No
1,1,1,1,4,19.00337904,72.85517942,114,No
1,1,1,1,4,19.00341206,72.85802783,115,No
1,1,1,1,4,19.00020284,72.81533766,116,No
1,1,1,1,4,19.00027005,72.82103423,117,No
1,1,1,1,4,19.00030359,72.82388252,118,No
1,1,1,1,4,19.00033709,72.82673082,119,No
1,1,1,1,4,19.00037054,72.82957913,120,No
1,1,1,1,4,19.00040395,72.83242744,121,No
1,1,1,1,4,19.00047064,72.83812409,122,No
1,1,1,1,4,19.00050391,72.84097242,123,No
1,1,1,1,4,19.00053715,72.84382075,124,No
1,1,1,1,4,19.00057034,72.84666909,125,No
1,1,1,1,4,19.00059225,72.84952536,126,No
1,1,1,1,4,19.00063659,72.8523658,127,No
