Index,FireTruck,Rescue_veh,Water truc,Ambulance,compact,X,Y,"X,Y",vehicles_list,potential
211,2,2,2,1,0.3791,72.8298,18.9869,"(72.8298, 18.9869)","[2, 2, 2, 1]",1
212,1,0,0,0,0.3989,72.8326,18.9868,"(72.8326, 18.9868)","[1, 0, 0, 0]",1
213,2,2,2,1,0.4556,72.8354,18.9869,"(72.8354, 18.9869)","[2, 2, 2, 1]",1
214,2,1,2,0,0.4144,72.8383,18.987,"(72.8383, 18.987)","[2, 1, 2, 0]",1
215,1,0,0,0,0.3904,72.8412,18.987,"(72.8412, 18.987)","[1, 0, 0, 0]",1
216,1,0,0,0,0.3844,72.844,18.987,"(72.844, 18.987)","[1, 0, 0, 0]",1
217,1,0,0,0,0.2678,72.8468,18.987,"(72.8468, 18.987)","[1, 0, 0, 0]",1
218,1,0,0,0,0.2444,72.8525,18.9871,"(72.8525, 18.9871)","[1, 0, 0, 0]",1
219,1,0,0,0,0.6053,72.8269,18.9841,"(72.8269, 18.9841)","[1, 0, 0, 0]",1
220,1,0,0,0,0.3456,72.8298,18.9841,"(72.8298, 18.9841)","[1, 0, 0, 0]",1
221,1,0,0,0,0.1024,72.8326,18.9841,"(72.8326, 18.9841)","[1, 0, 0, 0]",1
222,1,0,0,0,0.1602,72.8355,18.9842,"(72.8355, 18.9842)","[1, 0, 0, 0]",1
223,1,0,0,0,0.4622,72.8383,18.9842,"(72.8383, 18.9842)","[1, 0, 0, 0]",1
224,1,0,0,0,0.2889,72.8412,18.9843,"(72.8412, 18.9843)","[1, 0, 0, 0]",1
225,1,0,1,0,0.0489,72.8469,18.9843,"(72.8469, 18.9843)","[1, 0, 1, 0]",1
226,1,0,0,0,0.1711,72.8497,18.9843,"(72.8497, 18.9843)","[1, 0, 0, 0]",1
227,2,1,2,0,0.1222,72.8526,18.9844,"(72.8526, 18.9844)","[2, 1, 2, 0]",1
228,1,0,0,0,0.0978,72.8554,18.9844,"(72.8554, 18.9844)","[1, 0, 0, 0]",1
229,1,0,0,0,0.0747,72.8156,18.9813,"(72.8156, 18.9813)","[1, 0, 0, 0]",1
230,3,2,2,1,0.6636,72.827,18.9814,"(72.827, 18.9814)","[3, 2, 2, 1]",1
231,1,0,0,0,0.3433,72.8298,18.9814,"(72.8298, 18.9814)","[1, 0, 0, 0]",1
232,1,0,0,0,0.2207,72.8355,18.9814,"(72.8355, 18.9814)","[1, 0, 0, 0]",1
233,2,2,2,1,0.3642,72.8384,18.9815,"(72.8384, 18.9815)","[2, 2, 2, 1]",1
234,1,0,0,0,0.4836,72.8412,18.9815,"(72.8412, 18.9815)","[1, 0, 0, 0]",1
235,1,1,1,0,0.1711,72.8498,18.9817,"(72.8498, 18.9817)","[1, 1, 1, 0]",1
236,1,0,0,0,0.33,72.8185,18.9786,"(72.8185, 18.9786)","[1, 0, 0, 0]",1
237,5,3,3,1,0.5233,72.8299,18.9787,"(72.8299, 18.9787)","[5, 3, 3, 1]",1
238,1,0,0,0,0.2089,72.8327,18.9788,"(72.8327, 18.9788)","[1, 0, 0, 0]",1
239,1,0,0,0,0.4333,72.8412,18.9788,"(72.8412, 18.9788)","[1, 0, 0, 0]",1
240,1,0,0,0,0.2667,72.8441,18.9788,"(72.8441, 18.9788)","[1, 0, 0, 0]",1
241,1,0,0,0,0.3633,72.847,18.9789,"(72.847, 18.9789)","[1, 0, 0, 0]",1
242,1,0,0,0,0.5356,72.8498,18.979,"(72.8498, 18.979)","[1, 0, 0, 0]",1
243,3,2,2,1,0.4733,72.8071,18.9757,"(72.8071, 18.9757)","[3, 2, 2, 1]",1
244,2,2,2,1,0.3204,72.81,18.9758,"(72.81, 18.9758)","[2, 2, 2, 1]",1
245,2,2,2,1,0.3578,72.8128,18.9758,"(72.8128, 18.9758)","[2, 2, 2, 1]",1
246,1,0,0,0,0.4209,72.8185,18.9758,"(72.8185, 18.9758)","[1, 0, 0, 0]",1
247,3,2,2,1,0.4289,72.8242,18.9759,"(72.8242, 18.9759)","[3, 2, 2, 1]",1
248,1,0,0,0,0.5656,72.827,18.976,"(72.827, 18.976)","[1, 0, 0, 0]",1
249,4,2,3,1,0.6711,72.8299,18.976,"(72.8299, 18.976)","[4, 2, 3, 1]",1
250,1,0,0,0,0.4178,72.8327,18.976,"(72.8327, 18.976)","[1, 0, 0, 0]",1
251,1,0,0,0,0.4556,72.8356,18.9761,"(72.8356, 18.9761)","[1, 0, 0, 0]",1
252,1,0,0,0,0.4611,72.8384,18.9761,"(72.8384, 18.9761)","[1, 0, 0, 0]",1
253,1,0,0,0,0.4578,72.8413,18.9761,"(72.8413, 18.9761)","[1, 0, 0, 0]",1
254,1,0,0,0,0.2667,72.8441,18.9761,"(72.8441, 18.9761)","[1, 0, 0, 0]",1
255,1,0,0,0,0.3644,72.847,18.9762,"(72.847, 18.9762)","[1, 0, 0, 0]",1
256,1,0,0,0,0.1633,72.8043,18.973,"(72.8043, 18.973)","[1, 0, 0, 0]",1
257,3,3,3,1,0.3967,72.8071,18.973,"(72.8071, 18.973)","[3, 3, 3, 1]",1
258,2,3,3,1,0.4044,72.81,18.973,"(72.81, 18.973)","[2, 3, 3, 1]",1
259,1,0,0,0,0.1822,72.8128,18.973,"(72.8128, 18.973)","[1, 0, 0, 0]",1
260,1,0,0,0,0.2333,72.8157,18.9731,"(72.8157, 18.9731)","[1, 0, 0, 0]",1
261,1,0,0,0,0.4209,72.8185,18.9731,"(72.8185, 18.9731)","[1, 0, 0, 0]",1
262,1,2,2,0,0.2178,72.8214,18.9732,"(72.8214, 18.9732)","[1, 2, 2, 0]",1
263,1,0,0,0,0.3189,72.8242,18.9732,"(72.8242, 18.9732)","[1, 0, 0, 0]",1
264,1,0,0,0,0.5456,72.8271,18.9733,"(72.8271, 18.9733)","[1, 0, 0, 0]",1
265,3,0,0,0,0.3667,72.8299,18.9732,"(72.8299, 18.9732)","[3, 0, 0, 0]",1
266,1,0,0,0,0.3733,72.8356,18.9733,"(72.8356, 18.9733)","[1, 0, 0, 0]",1
267,1,0,0,0,0.3689,72.8385,18.9734,"(72.8385, 18.9734)","[1, 0, 0, 0]",1
268,1,0,0,0,0.4689,72.8413,18.9734,"(72.8413, 18.9734)","[1, 0, 0, 0]",1
269,1,0,0,0,0.1249,72.8442,18.9735,"(72.8442, 18.9735)","[1, 0, 0, 0]",1
270,1,0,0,0,0.286,72.847,18.9734,"(72.847, 18.9734)","[1, 0, 0, 0]",1
271,1,0,0,0,0.3667,72.8499,18.9735,"(72.8499, 18.9735)","[1, 0, 0, 0]",1
272,1,0,0,0,0.2022,72.8043,18.9702,"(72.8043, 18.9702)","[1, 0, 0, 0]",1
273,1,2,1,0,0.2318,72.8072,18.9703,"(72.8072, 18.9703)","[1, 2, 1, 0]",1
274,1,1,1,0,0.2038,72.81,18.9703,"(72.81, 18.9703)","[1, 1, 1, 0]",1
275,2,2,2,0,0.2162,72.8129,18.9704,"(72.8129, 18.9704)","[2, 2, 2, 0]",1
276,2,1,2,0,0.29,72.8157,18.9704,"(72.8157, 18.9704)","[2, 1, 2, 0]",1
277,1,0,0,0,0.3391,72.8186,18.9705,"(72.8186, 18.9705)","[1, 0, 0, 0]",1
278,2,1,2,0,0.2427,72.8214,18.9704,"(72.8214, 18.9704)","[2, 1, 2, 0]",1
279,2,2,2,0,0.3022,72.8243,18.9705,"(72.8243, 18.9705)","[2, 2, 2, 0]",1
280,3,2,3,1,0.5478,72.8271,18.9705,"(72.8271, 18.9705)","[3, 2, 3, 1]",1
281,2,1,2,0,0.3111,72.83,18.9706,"(72.83, 18.9706)","[2, 1, 2, 0]",1
282,1,0,0,0,0.2256,72.8328,18.9706,"(72.8328, 18.9706)","[1, 0, 0, 0]",1
283,1,0,0,0,0.2256,72.8357,18.9707,"(72.8357, 18.9707)","[1, 0, 0, 0]",1
284,2,2,2,1,0.3556,72.8385,18.9706,"(72.8385, 18.9706)","[2, 2, 2, 1]",1
285,1,0,0,0,0.4444,72.8414,18.9707,"(72.8414, 18.9707)","[1, 0, 0, 0]",1
286,1,0,0,0,0.2378,72.8442,18.9708,"(72.8442, 18.9708)","[1, 0, 0, 0]",1
287,2,2,2,0,0.2582,72.8044,18.9676,"(72.8044, 18.9676)","[2, 2, 2, 0]",1
288,2,2,2,0,0.2722,72.8072,18.9676,"(72.8072, 18.9676)","[2, 2, 2, 0]",1
289,2,2,2,1,0.2644,72.8101,18.9677,"(72.8101, 18.9677)","[2, 2, 2, 1]",1
290,1,0,0,0,0.3749,72.8129,18.9676,"(72.8129, 18.9676)","[1, 0, 0, 0]",1
291,1,0,0,0,0.2411,72.8158,18.9677,"(72.8158, 18.9677)","[1, 0, 0, 0]",1
292,1,0,0,0,0.2022,72.8186,18.9677,"(72.8186, 18.9677)","[1, 0, 0, 0]",1
293,1,0,0,0,0.2287,72.8215,18.9678,"(72.8215, 18.9678)","[1, 0, 0, 0]",1
294,2,2,3,1,0.4109,72.8272,18.9679,"(72.8272, 18.9679)","[2, 2, 3, 1]",1
295,1,0,0,0,0.1789,72.83,18.9678,"(72.83, 18.9678)","[1, 0, 0, 0]",1
296,1,2,2,0,0.1633,72.8328,18.9679,"(72.8328, 18.9679)","[1, 2, 2, 0]",1
297,1,0,0,0,0.2922,72.8357,18.9679,"(72.8357, 18.9679)","[1, 0, 0, 0]",1
298,1,0,0,0,0.3867,72.8386,18.9679,"(72.8386, 18.9679)","[1, 0, 0, 0]",1
299,1,0,0,0,0.2122,72.8414,18.968,"(72.8414, 18.968)","[1, 0, 0, 0]",1
300,3,2,3,1,0.24,72.8442,18.968,"(72.8442, 18.968)","[3, 2, 3, 1]",1
301,1,0,0,0,0.0644,72.8471,18.9681,"(72.8471, 18.9681)","[1, 0, 0, 0]",1
302,1,0,0,0,0.0293,72.8499,18.9681,"(72.8499, 18.9681)","[1, 0, 0, 0]",0
303,1,0,0,0,0.2956,72.8044,18.9648,"(72.8044, 18.9648)","[1, 0, 0, 0]",1
304,1,0,0,0,0.3422,72.8073,18.9649,"(72.8073, 18.9649)","[1, 0, 0, 0]",1
305,1,0,0,0,0.4044,72.8101,18.9649,"(72.8101, 18.9649)","[1, 0, 0, 0]",1
306,1,0,0,0,0.4044,72.813,18.965,"(72.813, 18.965)","[1, 0, 0, 0]",1
307,1,0,0,0,0.3389,72.8158,18.965,"(72.8158, 18.965)","[1, 0, 0, 0]",1
308,1,0,0,0,0.456,72.8186,18.965,"(72.8186, 18.965)","[1, 0, 0, 0]",1
309,1,0,0,0,0.41,72.8215,18.9651,"(72.8215, 18.9651)","[1, 0, 0, 0]",1
310,5,5,6,2,0.9411,72.8243,18.9651,"(72.8243, 18.9651)","[5, 5, 6, 2]",1
311,3,2,3,1,0.6356,72.8272,18.9651,"(72.8272, 18.9651)","[3, 2, 3, 1]",1
312,1,0,0,0,0.4811,72.83,18.9651,"(72.83, 18.9651)","[1, 0, 0, 0]",1
313,1,0,0,0,0.2844,72.8329,18.9652,"(72.8329, 18.9652)","[1, 0, 0, 0]",1
314,1,0,0,0,0.2827,72.8357,18.9652,"(72.8357, 18.9652)","[1, 0, 0, 0]",1
315,2,1,2,0,0.2233,72.8386,18.9653,"(72.8386, 18.9653)","[2, 1, 2, 0]",1
316,1,0,0,0,0.3011,72.8414,18.9653,"(72.8414, 18.9653)","[1, 0, 0, 0]",1
317,1,0,0,0,0.2344,72.8443,18.9653,"(72.8443, 18.9653)","[1, 0, 0, 0]",1
318,4,4,3,1,0.1647,72.8471,18.9653,"(72.8471, 18.9653)","[4, 4, 3, 1]",1
319,1,0,0,0,0.1944,72.8016,18.9621,"(72.8016, 18.9621)","[1, 0, 0, 0]",1
320,1,0,0,0,0.3189,72.8101,18.9622,"(72.8101, 18.9622)","[1, 0, 0, 0]",1
321,3,1,2,1,0.4489,72.813,18.9623,"(72.813, 18.9623)","[3, 1, 2, 1]",1
322,1,0,0,0,0.5122,72.8158,18.9622,"(72.8158, 18.9622)","[1, 0, 0, 0]",1
323,1,0,0,0,0.5778,72.8187,18.9623,"(72.8187, 18.9623)","[1, 0, 0, 0]",1
324,4,1,4,1,0.8178,72.8215,18.9623,"(72.8215, 18.9623)","[4, 1, 4, 1]",1
325,3,2,3,1,0.6533,72.8244,18.9624,"(72.8244, 18.9624)","[3, 2, 3, 1]",1
326,5,3,4,2,0.7111,72.8272,18.9624,"(72.8272, 18.9624)","[5, 3, 4, 2]",1
327,4,2,4,1,0.8489,72.8301,18.9625,"(72.8301, 18.9625)","[4, 2, 4, 1]",1
328,1,0,0,0,0.256,72.8329,18.9624,"(72.8329, 18.9624)","[1, 0, 0, 0]",1
329,1,0,0,0,0.4122,72.8358,18.9625,"(72.8358, 18.9625)","[1, 0, 0, 0]",1
330,1,0,0,0,0.3422,72.8386,18.9625,"(72.8386, 18.9625)","[1, 0, 0, 0]",1
331,1,0,0,0,0.0611,72.8472,18.9627,"(72.8472, 18.9627)","[1, 0, 0, 0]",1
332,1,0,0,0,0.3409,72.8016,18.9594,"(72.8016, 18.9594)","[1, 0, 0, 0]",1
333,1,0,0,0,0.1073,72.8073,18.9594,"(72.8073, 18.9594)","[1, 0, 0, 0]",0
334,1,0,0,0,0.4698,72.8102,18.9595,"(72.8102, 18.9595)","[1, 0, 0, 0]",1
335,1,0,0,0,0.3322,72.813,18.9595,"(72.813, 18.9595)","[1, 0, 0, 0]",1
336,1,0,0,0,0.4364,72.8159,18.9596,"(72.8159, 18.9596)","[1, 0, 0, 0]",1
337,2,2,2,1,0.45,72.8187,18.9596,"(72.8187, 18.9596)","[2, 2, 2, 1]",1
338,5,4,4,2,0.5158,72.8216,18.9597,"(72.8216, 18.9597)","[5, 4, 4, 2]",1
339,1,0,0,0,0.5722,72.8244,18.9596,"(72.8244, 18.9596)","[1, 0, 0, 0]",1
340,3,2,3,1,0.8233,72.8273,18.9597,"(72.8273, 18.9597)","[3, 2, 3, 1]",1
341,1,0,0,0,0.4933,72.8301,18.9598,"(72.8301, 18.9598)","[1, 0, 0, 0]",1
342,1,1,1,0,0.206,72.833,18.9598,"(72.833, 18.9598)","[1, 1, 1, 0]",1
343,3,1,2,1,0.4767,72.8358,18.9598,"(72.8358, 18.9598)","[3, 1, 2, 1]",1
344,1,0,0,0,0.21,72.8386,18.9598,"(72.8386, 18.9598)","[1, 0, 0, 0]",1
