FireTruck,Rescue_veh,Water truc,Ambulance,count,levbycount,Total,comp_norm,Type,HBcount,LBcount,MBcount,C_count,R_count,I_count,others,Special_Co,To_Bui_Co,MED_Pop,LOW_Pop,High_Pop,Tot_Pop,Arr,Pop_22_10,Pop_10_22,compact_1,srid,compact,Intensity,Avgres,Output lay,Output l_1,X,Y,X,Y,PopupInfo,level,count
1,0,0,0,1,1,1,89.8986666666999,R,8,0,12,0,20,0,,0,20,432,0,1408,1840,7840,700,432,5.75867,375,0.118222222,1,17,89.8986666667,89.8987,72.7932,18.95115,72.7931999999999,18.9511499999999,MED HIGH RISE,1,1
1,0,0,0,1,1,1,144.725333333,R,8,0,20,0,28,0,,0,28,720,0,1408,2128,10240,948,576,6.90978,376,0.155555556,3,19,144.725333333,144.725,72.79602545,18.95119212,72.79602545,18.95119212,MED HIGH RISE,0,0
3,1,3,1,1,3,8,699.607999999999,RC,6,0,70,8,68,0,,0,76,2520,0,1056,3576,24180,2224,1742,13.0962,377,0.373333333,5,22,699.608,699.608,72.80172515,18.95124211,72.8017251499999,18.9512421099999,MED HIGH RISE,3,1
1,0,0,0,1,1,1,69.504,RSCI,1,19,15,10,15,7,Hospital and school,3,35,540,1216,176,1932,8640,581,1039,3.169,378,0.124222222,7,6.5,69.504,69.504,72.81882515,18.9514421,72.8188251499999,18.9514421,LOW MED HIGH RISE,0,0
4,1,4,1,3,4,10,3393.80533332999,RSCI,2,20,170,85,100,3,,4,192,6120,1280,352,7752,55860,3722,6869,26.0024,379,0.857777778,26,9.25,3393.80533333,3393.81,72.82167455,18.95150788,72.8216745499999,18.95150788,LOW MED HIGH RISE,12,3
2,2,2,0,4,2,6,1904.43688889,RSCI,4,200,35,40,194,2,,3,239,1260,1280,704,3244,50620,5782,5008,12.3854,380,0.683333333,23,10.4,1904.43688889,1904.44,72.82452515,18.95154211,72.8245251499999,18.9515421099999,LOW MED HIGH RISE,7,4
3,2,3,1,2,3,9,1956.11111110999,RIC,0,170,60,60,166,4,,0,230,2160,1088,0,3248,50300,5092,5710,13.1667,381,0.695555556,23,9.57,1956.11111111,1956.11,72.82737485,18.9515579,72.8273748499999,18.9515579,LOW MED RISE,6,2
1,0,0,0,1,1,1,1355.04444444,RC,0,170,37,50,157,0,,0,207,1332,1088,0,2420,43400,4707,4876,9.85722,382,0.588222222,18,11,1355.04444444,1355.04,72.83022545,18.95159212,72.83022545,18.95159212,LOW MED RISE,0,0
3,2,3,1,3,2,9,2000.79,RC,0,87,100,60,127,0,,0,187,3600,5568,0,9168,46530,4096,5331,16.7089,383,0.679333333,20,11.1999999999999,2000.79,2000.79,72.83307485,18.95165789,72.83307485,18.95165789,LOW MED RISE,6,3
1,0,0,0,1,1,1,1906.49422222,RSCI,2,70,100,40,120,7,,5,172,3600,4480,352,8432,44360,3923,4499,17.2636,384,0.653333333,19,7,1906.49422222,1906.49,72.8359,18.95165,72.8358999999999,18.95165,LOW MED HIGH RISE,0,0
