Index,"X,Y",vehicles_list,potential
198,"(72.82687455, 18.98950788)","[1, 0, 0, 0]",1
199,"(72.82972515, 18.98954211)","[2, 1, 2, 0]",1
200,"(72.83257485, 18.98955789)","[1, 0, 0, 0]",1
201,"(72.83542545, 18.98959212)","[1, 0, 0, 0]",1
202,"(72.83827485, 18.98965789)","[1, 0, 0, 0]",1
203,"(72.84112515, 18.98964211)","[1, 0, 0, 0]",1
204,"(72.84397455, 18.98970788)","[1, 0, 0, 0]",1
205,"(72.84682515, 18.9897421)","[1, 0, 0, 0]",1
206,"(72.8525, 18.9898)","[1, 0, 0, 0]",1
207,"(72.85535, 18.98985)","[1, 0, 0, 0]",1
208,"(72.81552515, 18.98664211)","[1, 0, 0, 0]",1
209,"(72.82407485, 18.98675789)","[1, 0, 0, 0]",1
210,"(72.8269, 18.9868)","[1, 0, 0, 0]",1
211,"(72.82977485, 18.98685789)","[2, 2, 2, 1]",1
212,"(72.8326, 18.98685)","[1, 0, 0, 0]",1
213,"(72.83545, 18.9869)","[4, 2, 2, 1]",1
214,"(72.8383, 18.98695)","[2, 1, 2, 0]",1
215,"(72.84115, 18.98695)","[1, 0, 0, 0]",1
216,"(72.844, 18.987000000000002)","[1, 0, 0, 0]",1
217,"(72.84685, 18.98705)","[1, 0, 0, 0]",1
218,"(72.85252545, 18.98709212)","[1, 0, 0, 0]",1
219,"(72.82693393, 18.98406726)","[1, 0, 0, 0]",1
220,"(72.82976607, 18.98413274)","[1, 0, 0, 0]",1
221,"(72.83262515, 18.98414211)","[1, 0, 0, 0]",1
222,"(72.83548333, 18.98418333)","[1, 0, 0, 0]",1
223,"(72.83831667, 18.98421667)","[1, 0, 0, 0]",1
224,"(72.84117485, 18.98425789)","[1, 0, 0, 0]",1
225,"(72.84686607, 18.98433274)","[1, 0, 1, 0]",1
226,"(72.84972515, 18.9843421)","[1, 0, 0, 0]",1
227,"(72.85258333, 18.98438333)","[2, 1, 2, 0]",1
228,"(72.85541667, 18.98441667)","[1, 0, 0, 0]",1
229,"(72.81557485, 18.98125789)","[1, 0, 0, 0]",1
230,"(72.82697485, 18.98135789)","[3, 2, 2, 1]",1
231,"(72.82982545, 18.98139212)","[1, 0, 0, 0]",1
232,"(72.83552515, 18.98144211)","[1, 0, 0, 0]",1
233,"(72.83837455, 18.98150788)","[2, 2, 2, 1]",1
234,"(72.84122515, 18.9815421)","[1, 0, 0, 0]",1
235,"(72.84977485, 18.98165789)","[1, 1, 1, 0]",1
236,"(72.81847485, 18.97855789)","[1, 0, 0, 0]",1
237,"(72.82987455, 18.97870788)","[5, 3, 3, 1]",1
238,"(72.8327, 18.97875)","[1, 0, 0, 0]",1
239,"(72.84125, 18.97885)","[1, 0, 0, 0]",1
240,"(72.8441, 18.97885)","[1, 0, 0, 0]",1
241,"(72.84695, 18.9789)","[1, 0, 0, 0]",1
242,"(72.8498, 18.97895)","[1, 0, 0, 0]",1
243,"(72.80711667, 18.97571667)","[3, 2, 2, 1]",1
244,"(72.80997485, 18.97575789)","[2, 2, 2, 1]",1
245,"(72.81280848, 18.97577515)","[2, 2, 2, 1]",1
246,"(72.8185, 18.97585)","[1, 0, 0, 0]",1
247,"(72.82419152, 18.97592485)","[3, 2, 2, 1]",1
248,"(72.82705, 18.97595)","[1, 0, 0, 0]",1
249,"(72.82990848, 18.97597515)","[4, 2, 3, 1]",1
250,"(72.83271667, 18.97601667)","[1, 0, 0, 0]",1
251,"(72.83557485, 18.97605789)","[1, 0, 0, 0]",1
252,"(72.83843393, 18.97606726)","[1, 0, 0, 0]",1
253,"(72.84126607, 18.97613274)","[1, 0, 0, 0]",1
254,"(72.84412515, 18.9761421)","[1, 0, 0, 0]",1
255,"(72.84698333, 18.97618333)","[1, 0, 0, 0]",1
256,"(72.8043, 18.97295)","[1, 0, 0, 0]",1
257,"(72.80715, 18.973)","[3, 3, 3, 1]",1
258,"(72.81, 18.97305)","[2, 3, 3, 1]",1
259,"(72.81282515, 18.97304211)","[1, 0, 0, 0]",1
260,"(72.81567455, 18.97310788)","[1, 0, 0, 0]",1
261,"(72.81852515, 18.97314211)","[1, 0, 0, 0]",1
262,"(72.82137485, 18.97315789)","[1, 2, 2, 0]",1
263,"(72.82422545, 18.97319212)","[1, 0, 0, 0]",1
264,"(72.82707485, 18.97325789)","[1, 0, 0, 0]",1
265,"(72.82992515, 18.97324211)","[3, 0, 0, 0]",1
266,"(72.83562515, 18.9733421)","[1, 0, 0, 0]",1
267,"(72.83847485, 18.97335789)","[1, 0, 0, 0]",1
268,"(72.84132545, 18.97339212)","[1, 0, 0, 0]",1
269,"(72.84417485, 18.9734579)","[1, 0, 0, 0]",1
270,"(72.84702515, 18.97344211)","[1, 0, 0, 0]",1
271,"(72.84987455, 18.97350788)","[1, 0, 0, 0]",1
272,"(72.80432515, 18.97024211)","[1, 0, 0, 0]",1
273,"(72.80717455, 18.97030788)","[1, 2, 1, 0]",1
274,"(72.81002515, 18.97034211)","[1, 1, 1, 0]",1
275,"(72.81287485, 18.97035789)","[2, 2, 2, 0]",1
276,"(72.81572545, 18.97039212)","[2, 1, 2, 0]",1
277,"(72.81857485, 18.97045789)","[1, 0, 0, 0]",1
278,"(72.82142515, 18.97044211)","[2, 1, 2, 0]",1
279,"(72.82427455, 18.97050788)","[2, 2, 2, 0]",1
280,"(72.82712515, 18.97054211)","[3, 2, 3, 1]",1
281,"(72.82997485, 18.97055789)","[2, 1, 2, 0]",1
282,"(72.83282545, 18.97059212)","[1, 0, 0, 0]",1
283,"(72.83567485, 18.97065789)","[1, 0, 0, 0]",1
284,"(72.83852515, 18.9706421)","[2, 2, 2, 1]",1
285,"(72.84137455, 18.97070788)","[1, 0, 0, 0]",1
286,"(72.8442, 18.97075)","[1, 0, 0, 0]",1
287,"(72.80437485, 18.96755789)","[2, 2, 2, 0]",1
288,"(72.80722545, 18.96759212)","[2, 2, 2, 0]",1
289,"(72.81007485, 18.96765789)","[2, 2, 2, 1]",1
290,"(72.81292515, 18.96764211)","[1, 0, 0, 0]",1
291,"(72.81577455, 18.96770788)","[1, 0, 0, 0]",1
292,"(72.81862515, 18.96774211)","[1, 0, 0, 0]",1
293,"(72.82147485, 18.96775789)","[1, 0, 0, 0]",1
294,"(72.82717485, 18.96785789)","[2, 2, 3, 1]",1
295,"(72.83, 18.96785)","[4, 0, 0, 0]",1
296,"(72.83285, 18.9679)","[4, 2, 2, 0]",1
297,"(72.8357, 18.96795)","[4, 0, 0, 0]",1
298,"(72.83855, 18.96795)","[4, 0, 0, 0]",1
299,"(72.8414, 18.968)","[4, 0, 0, 0]",1
300,"(72.84422515, 18.96804211)","[4, 2, 3, 1]",1
301,"(72.84707485, 18.968057899999998)","[4, 0, 0, 0]",1
302,"(72.84992545, 18.96809212)","[4, 0, 0, 0]",0
303,"(72.80442515, 18.96484211)","[4, 0, 0, 0]",1
304,"(72.80728333, 18.96488333)","[4, 0, 0, 0]",1
305,"(72.81009152, 18.96492485)","[4, 0, 0, 0]",1
306,"(72.81295, 18.96495)","[4, 0, 0, 0]",1
307,"(72.81580848, 18.96497515)","[4, 0, 0, 0]",1
308,"(72.81864121, 18.96502485)","[4, 0, 0, 0]",1
309,"(72.8215, 18.96505)","[4, 0, 0, 0]",1
310,"(72.82433393, 18.96506726)","[4, 5, 6, 2]",1
311,"(72.82716607, 18.96513274)","[4, 2, 3, 1]",1
312,"(72.83002515, 18.9651421)","[4, 0, 0, 0]",1
313,"(72.83288333, 18.96518333)","[1, 0, 0, 0]",1
314,"(72.83571667, 18.96521667)","[1, 0, 0, 0]",1
315,"(72.83857485, 18.9652579)","[2, 1, 2, 0]",1
316,"(72.84143393, 18.96526726)","[1, 0, 0, 0]",1
317,"(72.84426607, 18.96533274)","[1, 0, 0, 0]",1
318,"(72.84712515, 18.96534211)","[4, 4, 3, 1]",1
319,"(72.8016, 18.9621)","[1, 0, 0, 0]",1
320,"(72.81012545, 18.96219212)","[1, 0, 0, 0]",1
321,"(72.81297485, 18.96225789)","[3, 1, 2, 1]",1
322,"(72.81582515, 18.96224211)","[1, 0, 0, 0]",1
323,"(72.81867455, 18.96230788)","[1, 0, 0, 0]",1
324,"(72.82152515, 18.9623421)","[3, 1, 4, 1]",1
325,"(72.82437485, 18.96235789)","[3, 2, 3, 1]",1
326,"(72.82722545, 18.96239212)","[5, 3, 4, 2]",1
327,"(72.83007485, 18.9624579)","[4, 2, 4, 1]",1
328,"(72.83292515, 18.96244211)","[1, 0, 0, 0]",1
329,"(72.83577455, 18.96250788)","[1, 0, 0, 0]",1
330,"(72.83862515, 18.96254211)","[1, 0, 0, 0]",1
331,"(72.84717485, 18.96265789)","[1, 0, 0, 0]",1
332,"(72.80162545, 18.95939212)","[1, 0, 0, 0]",1
333,"(72.80732515, 18.95944211)","[4, 0, 0, 0]",0
334,"(72.81017455, 18.95950788)","[1, 0, 0, 0]",1
335,"(72.81302515, 18.95954211)","[1, 0, 0, 0]",1
336,"(72.81587485, 18.95955789)","[1, 0, 0, 0]",1
337,"(72.81872545, 18.95959212)","[2, 2, 2, 1]",1
338,"(72.82157485, 18.95965789)","[5, 4, 4, 2]",1
339,"(72.82442515, 18.9596421)","[1, 0, 0, 0]",1
340,"(72.82727455, 18.95970788)","[3, 2, 3, 1]",1
341,"(72.8301, 18.95975)","[1, 0, 0, 0]",1
342,"(72.83295, 18.95975)","[1, 1, 1, 0]",1
343,"(72.8358, 18.9598)","[3, 1, 2, 1]",1
344,"(72.83865, 18.95985)","[1, 0, 0, 0]",1
345,"(72.8415, 18.95985)","[1, 0, 0, 0]",1
346,"(72.79882515, 18.95664211)","[1, 0, 0, 0]",1
347,"(72.80168333, 18.95668333)","[3, 1, 2, 0]",1
348,"(72.80737485, 18.95675789)","[1, 0, 0, 0]",1
349,"(72.81020848, 18.95677515)","[1, 0, 0, 0]",1
350,"(72.81304121, 18.95682485)","[1, 0, 0, 0]",1
351,"(72.8159, 18.95685)","[1, 0, 0, 0]",1
352,"(72.81875879, 18.95687515)","[4, 1, 4, 1]",1
353,"(72.82159151, 18.95692485)","[3, 1, 2, 1]",1
354,"(72.82445, 18.95695)","[1, 0, 0, 0]",1
355,"(72.82730848, 18.95697515)","[1, 0, 0, 0]",1
356,"(72.83011667, 18.95701667)","[1, 0, 0, 0]",1
357,"(72.83297485, 18.9570579)","[2, 1, 2, 0]",1
358,"(72.83583393, 18.95706726)","[4, 2, 3, 1]",1
359,"(72.84152515, 18.95714211)","[1, 0, 0, 0]",1
360,"(72.796, 18.9539)","[3, 1, 1, 0]",1
361,"(72.79885, 18.95395)","[1, 0, 0, 0]",1
362,"(72.8017, 18.95395)","[1, 0, 0, 0]",1
363,"(72.8074, 18.95405)","[1, 0, 0, 0]",1
364,"(72.81592515, 18.9541421)","[1, 0, 0, 0]",1
365,"(72.81877485, 18.95415789)","[1, 0, 0, 0]",1
366,"(72.82165, 18.9542)","[4, 2, 3, 1]",1
367,"(72.8245, 18.95425)","[3, 1, 3, 1]",1
368,"(72.82732515, 18.95424211)","[1, 0, 0, 0]",1
369,"(72.83017455, 18.95430788)","[4, 1, 3, 1]",1
370,"(72.83302515, 18.95434211)","[1, 0, 0, 0]",1
371,"(72.83587485, 18.95435789)","[3, 2, 3, 1]",1
372,"(72.83872545, 18.95439212)","[1, 0, 0, 0]",1
373,"(72.84157485, 18.95445789)","[1, 0, 0, 0]",1
374,"(72.7932, 18.95115)","[1, 0, 0, 0]",1
375,"(72.79602545, 18.95119212)","[1, 0, 0, 0]",1
376,"(72.80172515, 18.95124211)","[3, 1, 3, 1]",1
