Index,"X,Y",vehicles_list,potential
356,"(72.8301, 18.957)","[1, 0, 0, 0]",1
357,"(72.833, 18.9571)","[2, 1, 2, 0]",1
358,"(72.8358, 18.9571)","[4, 2, 3, 1]",1
359,"(72.8415, 18.9571)","[1, 0, 0, 0]",1
360,"(72.796, 18.9539)","[1, 1, 1, 0]",1
361,"(72.7988, 18.954)","[1, 0, 0, 0]",1
362,"(72.8017, 18.954)","[1, 0, 0, 0]",1
363,"(72.8074, 18.954)","[1, 0, 0, 0]",1
364,"(72.8159, 18.9541)","[1, 0, 0, 0]",1
365,"(72.8188, 18.9542)","[1, 0, 0, 0]",1
366,"(72.8216, 18.9542)","[4, 2, 3, 1]",1
367,"(72.8245, 18.9542)","[3, 1, 3, 1]",1
368,"(72.8273, 18.9542)","[1, 0, 0, 0]",1
369,"(72.8302, 18.9543)","[4, 1, 3, 1]",1
370,"(72.833, 18.9543)","[1, 0, 0, 0]",1
371,"(72.8359, 18.9544)","[3, 2, 3, 1]",1
372,"(72.8387, 18.9544)","[1, 0, 0, 0]",1
373,"(72.8416, 18.9545)","[1, 0, 0, 0]",1
374,"(72.7932, 18.9511)","[1, 0, 0, 0]",1
375,"(72.796, 18.9512)","[1, 0, 0, 0]",1
376,"(72.8017, 18.9512)","[3, 1, 3, 1]",1
377,"(72.8188, 18.9514)","[1, 0, 0, 0]",1
378,"(72.8217, 18.9515)","[4, 1, 4, 1]",1
379,"(72.8245, 18.9515)","[2, 2, 2, 0]",1
380,"(72.8274, 18.9516)","[3, 2, 3, 1]",1
381,"(72.8302, 18.9516)","[1, 0, 0, 0]",1
382,"(72.8331, 18.9517)","[3, 2, 3, 1]",1
383,"(72.8359, 18.9516)","[1, 0, 0, 0]",1
384,"(72.8388, 18.9517)","[1, 0, 0, 0]",1
385,"(72.8416, 18.9518)","[1, 0, 0, 0]",1
386,"(72.7932, 18.9484)","[1, 0, 0, 0]",1
387,"(72.7961, 18.9485)","[1, 0, 0, 0]",1
388,"(72.8018, 18.9486)","[1, 0, 0, 0]",0
389,"(72.8246, 18.9488)","[1, 0, 0, 0]",1
390,"(72.8274, 18.9488)","[4, 1, 4, 1]",1
391,"(72.8303, 18.9489)","[4, 1, 4, 1]",1
392,"(72.8331, 18.949)","[4, 1, 4, 1]",1
393,"(72.8359, 18.9489)","[1, 0, 0, 0]",1
394,"(72.8388, 18.949)","[1, 0, 0, 0]",1
395,"(72.8416, 18.949)","[1, 0, 0, 0]",1
396,"(72.7933, 18.9458)","[1, 0, 0, 0]",1
397,"(72.7961, 18.9458)","[2, 1, 1, 0]",1
398,"(72.8246, 18.9461)","[1, 0, 0, 0]",1
399,"(72.8274, 18.9461)","[1, 0, 0, 0]",1
400,"(72.8303, 18.9462)","[1, 0, 0, 0]",1
401,"(72.8331, 18.9462)","[1, 0, 0, 0]",1
402,"(72.836, 18.9463)","[1, 0, 0, 0]",1
403,"(72.8246, 18.9434)","[2, 1, 2, 0]",1
404,"(72.8275, 18.9435)","[3, 2, 3, 1]",1
405,"(72.8303, 18.9434)","[1, 0, 0, 0]",1
406,"(72.8332, 18.9435)","[1, 0, 0, 0]",1
407,"(72.836, 18.9435)","[1, 0, 0, 0]",0
408,"(72.8275, 18.9408)","[1, 0, 0, 0]",1
409,"(72.8332, 18.9408)","[1, 0, 0, 0]",1
410,"(72.836, 18.9408)","[1, 0, 0, 0]",1
411,"(72.8389, 18.9408)","[1, 0, 0, 0]",1
412,"(72.8275, 18.938)","[1, 0, 0, 0]",1
413,"(72.8332, 18.9381)","[1, 0, 0, 0]",1
414,"(72.8361, 18.9382)","[1, 0, 0, 0]",1
415,"(72.8389, 18.9381)","[1, 0, 0, 0]",1
416,"(72.8247, 18.9353)","[2, 1, 1, 0]",1
417,"(72.8276, 18.9353)","[2, 4, 1, 0]",1
418,"(72.8333, 18.9354)","[1, 0, 0, 0]",1
419,"(72.8361, 18.9354)","[3, 2, 3, 1]",1
420,"(72.839, 18.9355)","[1, 0, 0, 0]",1
421,"(72.8418, 18.9355)","[1, 0, 0, 0]",1
422,"(72.8248, 18.9326)","[1, 1, 1, 0]",1
423,"(72.8304, 18.9326)","[2, 1, 2, 0]",1
424,"(72.8333, 18.9326)","[3, 1, 3, 1]",1
425,"(72.8362, 18.9327)","[1, 0, 0, 0]",1
426,"(72.839, 18.9328)","[2, 1, 2, 0]",1
427,"(72.8248, 18.9298)","[1, 0, 0, 0]",1
428,"(72.8276, 18.9299)","[1, 0, 0, 0]",1
429,"(72.8305, 18.93)","[2, 1, 1, 0]",1
430,"(72.8333, 18.9299)","[5, 5, 6, 2]",1
431,"(72.8362, 18.93)","[1, 0, 0, 0]",1
432,"(72.839, 18.93)","[1, 0, 0, 0]",1
433,"(72.822, 18.9271)","[1, 0, 0, 0]",1
434,"(72.8277, 18.9272)","[1, 0, 0, 0]",1
435,"(72.8305, 18.9272)","[1, 0, 0, 0]",1
436,"(72.8334, 18.9273)","[1, 0, 0, 0]",1
437,"(72.822, 18.9244)","[1, 0, 0, 0]",1
438,"(72.8249, 18.9245)","[1, 0, 0, 0]",1
439,"(72.8277, 18.9244)","[1, 0, 0, 0]",1
440,"(72.8306, 18.9245)","[1, 0, 0, 0]",1
441,"(72.8334, 18.9246)","[1, 0, 0, 0]",1
442,"(72.8249, 18.9218)","[1, 0, 0, 0]",1
443,"(72.8306, 18.9218)","[3, 2, 3, 1]",1
444,"(72.8334, 18.9218)","[1, 0, 0, 0]",1
445,"(72.8249, 18.919)","[1, 0, 0, 0]",1
446,"(72.8278, 18.9191)","[3, 1, 3, 1]",1
447,"(72.8306, 18.9191)","[2, 2, 2, 1]",1
448,"(72.8193, 18.9163)","[1, 0, 0, 0]",1
449,"(72.825, 18.9163)","[2, 1, 2, 0]",1
450,"(72.8278, 18.9163)","[3, 2, 3, 1]",1
451,"(72.8307, 18.9164)","[2, 2, 2, 1]",1
452,"(72.8079, 18.9134)","[1, 0, 0, 0]",1
